symptoms,predicted_disease
"red, scaly patches behind ears and on elbows",psoriasis
"lightheadedness when standing, swollen ankles, fatigue",menopausal syndrome
"tingling hands and pale stools, yellowing skin",alcoholic hepatitis
"sensitivity to smells, bloating, intermittent vomiting",migraine
"low-grade fever, joint stiffness in the morning",hepatitis d
"constant headaches, flashing lights in vision, nausea",hypertension
"feeling cold all the time, thinning hair, dry skin",hyperthyroidism
"chronic itching in groin area, cracked skin, redness",endometriosis
"restlessness at night, trouble concentrating during the day",insomnia
"tightness in chest during cold air exposure, frequent throat clearing",bronchial asthma
