symptoms,disease
"fatigue, lethargy, blurred_and_distorted_vision, restlessness, increased_appetite, excessive_hunger, polyuria, weight_loss, obesity",diabetes
"fatigue, obesity, lethargy, restlessness, excessive_hunger, polyuria, increased_appetite, weight_loss, blurred_and_distorted_vision",diabetes
"restlessness, polyuria, lethargy, excessive_hunger, blurred_and_distorted_vision, weight_loss, obesity, fatigue, increased_appetite",diabetes
"nausea, itchy skin, feeling like uti, hip pain, sore joints, abdominal cramps after sex, period reflux",endometriosis
"feeling like uti, sore joints, abdominal cramps after sex, hip pain, itchy skin, period reflux, nausea",endometriosis
"sore joints, hip pain, feeling like uti, abdominal cramps after sex, itchy skin, nausea, period reflux",endometriosis
"movement_stiffness, swelling_joints, painful_walking, muscle_weakness",arthritis
"painful_walking, muscle_weakness, swelling_joints, movement_stiffness",arthritis
"muscle_weakness, movement_stiffness, painful_walking, swelling_joints",arthritis
"chest discomfort, anxiety, tightness in chest, weakened heart muscles",stroke
"anxiety, weakened heart muscles, tightness in chest, chest discomfort",stroke
"anxiety, tightness in chest, weakened heart muscles, chest discomfort",stroke
"joint_pain, silver_like_dusting, skin_rash, inflammatory_nails, skin_peeling, small_dents_in_nails",psoriasis
"skin_peeling, small_dents_in_nails, joint_pain, silver_like_dusting, skin_rash, inflammatory_nails",psoriasis
"joint_pain, small_dents_in_nails, inflammatory_nails, skin_peeling, skin_rash, silver_like_dusting",psoriasis
"insomnia or disrupted sleep patterns, social withdrawal, persistent anxiety, loss of interest in work or hobbies, emotional mood swings",depression
"persistent anxiety, loss of interest in work or hobbies, emotional mood swings, social withdrawal, insomnia or disrupted sleep patterns",depression
"loss of interest in work or hobbies, emotional mood swings, persistent anxiety, insomnia or disrupted sleep patterns, social withdrawal",depression
"headache, nausea, spinning_movements, vomiting, unsteadiness",(vertigo) paroymsal positional vertigo
"nausea, headache, spinning_movements, unsteadiness, vomiting",(vertigo) paroymsal positional vertigo
"unsteadiness, spinning_movements, nausea, headache, vomiting",(vertigo) paroymsal positional vertigo
"vomiting, altered_sensorium, headache, weakness_of_one_body_side",paralysis (brain hemorrhage)
"weakness_of_one_body_side, altered_sensorium, headache, vomiting",paralysis (brain hemorrhage)
"altered_sensorium, headache, weakness_of_one_body_side, vomiting",paralysis (brain hemorrhage)
"loss_of_balance, nausea, unsteadiness, vomiting, spinning_movements, headache",(vertigo) paroymsal positional vertigo
"unsteadiness, nausea, vomiting, spinning_movements, loss_of_balance, headache",(vertigo) paroymsal positional vertigo
"loss_of_balance, spinning_movements, unsteadiness, headache, vomiting, nausea",(vertigo) paroymsal positional vertigo
"patches_in_throat, high_fever, muscle_wasting, extra_marital_contacts",aids
"patches_in_throat, extra_marital_contacts, high_fever, muscle_wasting",aids
"extra_marital_contacts, high_fever, patches_in_throat, muscle_wasting",aids
"weakness_of_one_body_side, vomiting, headache, altered_sensorium",paralysis (brain hemorrhage)
"altered_sensorium, vomiting, headache, weakness_of_one_body_side",paralysis (brain hemorrhage)
"weakness_of_one_body_side, vomiting, altered_sensorium, headache",paralysis (brain hemorrhage)
"chills, diarrhoea, headache, vomiting, muscle_pain, nausea, sweating, high_fever",malaria
"nausea, muscle_pain, high_fever, diarrhoea, headache, vomiting, chills, sweating",malaria
"chills, diarrhoea, vomiting, high_fever, headache, sweating, nausea, muscle_pain",malaria
"knee_pain, joint_pain, swelling_joints, neck_pain, hip_joint_pain",osteoarthritis
"neck_pain, hip_joint_pain, knee_pain, joint_pain, swelling_joints",osteoarthritis
"knee_pain, joint_pain, neck_pain, swelling_joints, hip_joint_pain",osteoarthritis
"physical dependence on substances, inability to control cravings, withdrawal symptoms when not using, compulsive substance use, preoccupation with obtaining substances, continued use despite negative consequences",substance abuse
"continued use despite negative consequences, compulsive substance use, preoccupation with obtaining substances, withdrawal symptoms when not using, physical dependence on substances, inability to control cravings",substance abuse
"preoccupation with obtaining substances, continued use despite negative consequences, physical dependence on substances, compulsive substance use, withdrawal symptoms when not using, inability to control cravings",substance abuse
"ankles, swelling in feet, sharp pain with stress, pain in heels, lower back, greater trochanter, neck, knees, swelling in knees, outside of thighs, dull ache after motion",arthritis
"neck, ankles, swelling in feet, outside of thighs, lower back, greater trochanter, sharp pain with stress, knees, swelling in knees, pain in heels, dull ache after motion",arthritis
"lower back, swelling in knees, neck, outside of thighs, dull ache after motion, knees, ankles, sharp pain with stress, greater trochanter, swelling in feet, pain in heels",arthritis
"increased emotional reactivity, difficulty expressing emotions, avoidance of traumatic memories",ptsd
"difficulty expressing emotions, increased emotional reactivity, avoidance of traumatic memories",ptsd
"avoidance of traumatic memories, difficulty expressing emotions, increased emotional reactivity",ptsd
"headache, loss_of_balance, spinning_movements, vomiting, nausea",(vertigo) paroymsal positional vertigo
"spinning_movements, headache, loss_of_balance, nausea, vomiting",(vertigo) paroymsal positional vertigo
"loss_of_balance, vomiting, spinning_movements, headache, nausea",(vertigo) paroymsal positional vertigo
"recurrent nightmares, repressed traumatic memories, emotional detachment, difficulty trusting caregivers",ptsd
"repressed traumatic memories, emotional detachment, recurrent nightmares, difficulty trusting caregivers",ptsd
"difficulty trusting caregivers, recurrent nightmares, repressed traumatic memories, emotional detachment",ptsd
"cough, vomiting, acidity, ulcers_on_tongue, chest_pain, stomach_pain",gerd
"stomach_pain, cough, vomiting, chest_pain, acidity, ulcers_on_tongue",gerd
"vomiting, acidity, cough, chest_pain, stomach_pain, ulcers_on_tongue",gerd
"swollen abdomen, vomiting",typhoid
"vomiting, swollen abdomen",typhoid
"persistent physical exhaustion, reduced or impaired social skills, chronic body aches, frequent headaches, avoidance of social interactions",ptsd
"frequent headaches, reduced or impaired social skills, chronic body aches, avoidance of social interactions, persistent physical exhaustion",ptsd
"chronic body aches, persistent physical exhaustion, avoidance of social interactions, frequent headaches, reduced or impaired social skills",ptsd
"non-refreshing sleep, difficulty falling asleep, morning dizziness, difficulty staying asleep, waking up too early",insomnia
"difficulty falling asleep, non-refreshing sleep, waking up too early, morning dizziness, difficulty staying asleep",insomnia
"waking up too early, difficulty falling asleep, difficulty staying asleep, non-refreshing sleep, morning dizziness",insomnia
"emotional instability, cognitive confusion, difficulty with verbal communication",menopausal syndrome
"difficulty with verbal communication, cognitive confusion, emotional instability",menopausal syndrome
"cognitive confusion, difficulty with verbal communication, emotional instability",menopausal syndrome
"dehydration, vomiting, sunken_eyes, diarrhoea",gastroenteritis
"sunken_eyes, vomiting, dehydration, diarrhoea",gastroenteritis
"sunken_eyes, dehydration, vomiting, diarrhoea",gastroenteritis
"stomach_pain, ulcers_on_tongue, acidity, vomiting, cough, chest_pain",gerd
"cough, acidity, chest_pain, ulcers_on_tongue, stomach_pain, vomiting",gerd
"cough, chest_pain, vomiting, stomach_pain, ulcers_on_tongue, acidity",gerd
"emotional outbursts, mood swings, difficulty regulating emotions",bipolar disorder
"difficulty regulating emotions, emotional outbursts, mood swings",bipolar disorder
"difficulty regulating emotions, mood swings, emotional outbursts",bipolar disorder
