symptoms,disease
"neck_pain, dizziness, loss_of_balance, weakness_in_limbs, back_pain",Cervical spondylosis
"loss_of_balance, weakness_in_limbs, dizziness, neck_pain, back_pain",Cervical spondylosis
"weakness_in_limbs, neck_pain, dizziness, loss_of_balance, back_pain",Cervical spondylosis
"dark_urine, lethargy, yellow_urine, receiving_blood_transfusion, abdominal_pain, yellowing_of_eyes, yellowish_skin, fatigue, loss_of_appetite, receiving_unsterile_injections, malaise",Hepatitis B
"dark_urine, yellowing_of_eyes, yellowish_skin, yellow_urine, receiving_unsterile_injections, fatigue, loss_of_appetite, lethargy, malaise, receiving_blood_transfusion, abdominal_pain",Hepatitis B
"yellowing_of_eyes, loss_of_appetite, dark_urine, yellow_urine, yellowish_skin, receiving_unsterile_injections, receiving_blood_transfusion, malaise, fatigue, lethargy, abdominal_pain",Hepatitis B
"itching, weight_loss, high_fever, fatigue, abdominal_pain, yellowish_skin, dark_urine, vomiting",Jaundice
"weight_loss, fatigue, abdominal_pain, high_fever, itching, yellowish_skin, vomiting, dark_urine",Jaundice
"weight_loss, vomiting, high_fever, itching, dark_urine, abdominal_pain, fatigue, yellowish_skin",Jaundice
"itching, fatigue, high_fever, malaise, lethargy, red_spots_over_body, swelled_lymph_nodes, loss_of_appetite, mild_fever, headache, skin_rash",Chicken pox
"headache, loss_of_appetite, high_fever, swelled_lymph_nodes, lethargy, itching, red_spots_over_body, skin_rash, mild_fever, fatigue, malaise",Chicken pox
"high_fever, loss_of_appetite, fatigue, mild_fever, malaise, headache, lethargy, skin_rash, itching, red_spots_over_body, swelled_lymph_nodes",Chicken pox
"painful_walking, knee_pain, hip_joint_pain, joint_pain, swelling_joints, neck_pain",Osteoarthritis
"joint_pain, swelling_joints, neck_pain, knee_pain, hip_joint_pain, painful_walking",Osteoarthritis
"painful_walking, knee_pain, hip_joint_pain, swelling_joints, joint_pain, neck_pain",Osteoarthritis
"lethargy, loss_of_appetite, skin_rash, itching, red_spots_over_body, headache, swelled_lymph_nodes, fatigue, mild_fever, malaise, high_fever",Chicken pox
"loss_of_appetite, headache, mild_fever, high_fever, lethargy, itching, red_spots_over_body, malaise, swelled_lymph_nodes, skin_rash, fatigue",Chicken pox
"skin_rash, lethargy, malaise, swelled_lymph_nodes, mild_fever, high_fever, loss_of_appetite, itching, red_spots_over_body, fatigue, headache",Chicken pox
"pain_in_anal_region, bloody_stool, constipation, pain_during_bowel_movements, irritation_in_anus",Dimorphic hemmorhoids(piles)
"constipation, pain_during_bowel_movements, irritation_in_anus, pain_in_anal_region, bloody_stool",Dimorphic hemmorhoids(piles)
"pain_in_anal_region, pain_during_bowel_movements, constipation, irritation_in_anus, bloody_stool",Dimorphic hemmorhoids(piles)
"weakness_of_one_body_side, headache, altered_sensorium, vomiting",Paralysis (brain hemorrhage)
"weakness_of_one_body_side, altered_sensorium, vomiting, headache",Paralysis (brain hemorrhage)
"vomiting, altered_sensorium, headache, weakness_of_one_body_side",Paralysis (brain hemorrhage)
"nausea, abdominal_pain, yellowing_of_eyes, mild_fever, yellowish_skin, dark_urine, vomiting, joint_pain, muscle_pain, diarrhoea, loss_of_appetite",hepatitis A
"yellowing_of_eyes, muscle_pain, yellowish_skin, nausea, dark_urine, diarrhoea, loss_of_appetite, abdominal_pain, vomiting, mild_fever, joint_pain",hepatitis A
"nausea, vomiting, diarrhoea, joint_pain, abdominal_pain, mild_fever, dark_urine, yellowing_of_eyes, muscle_pain, loss_of_appetite, yellowish_skin",hepatitis A
"neck_pain, swelling_joints, joint_pain, painful_walking, hip_joint_pain, knee_pain",Osteoarthritis
"swelling_joints, knee_pain, hip_joint_pain, joint_pain, painful_walking, neck_pain",Osteoarthritis
"knee_pain, painful_walking, swelling_joints, neck_pain, hip_joint_pain, joint_pain",Osteoarthritis
"high_fever, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze",Impetigo
"skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze",Impetigo
"yellow_crust_ooze, skin_rash, high_fever, blister, red_sore_around_nose",Impetigo
"continuous_feel_of_urine, burning_micturition, bladder_discomfort",Urinary tract infection
"bladder_discomfort, burning_micturition, continuous_feel_of_urine",Urinary tract infection
"burning_micturition, bladder_discomfort, continuous_feel_of_urine",Urinary tract infection
"skin_rash, burning_micturition, itching, spotting_ urination",Drug Reaction
"spotting_ urination, skin_rash, burning_micturition, itching",Drug Reaction
"skin_rash, spotting_ urination, burning_micturition, itching",Drug Reaction
"vomiting, headache, altered_sensorium, weakness_of_one_body_side",Paralysis (brain hemorrhage)
"weakness_of_one_body_side, vomiting, headache, altered_sensorium",Paralysis (brain hemorrhage)
"headache, altered_sensorium, weakness_of_one_body_side, vomiting",Paralysis (brain hemorrhage)
"watering_from_eyes, shivering, continuous_sneezing, chills",Allergy
"watering_from_eyes, continuous_sneezing, shivering, chills",Allergy
"watering_from_eyes, continuous_sneezing, chills, shivering",Allergy
"dizziness, neck_pain, weakness_in_limbs, back_pain",Cervical spondylosis
"neck_pain, weakness_in_limbs, dizziness, back_pain",Cervical spondylosis
"weakness_in_limbs, dizziness, back_pain, neck_pain",Cervical spondylosis
"dehydration, diarrhoea, vomiting, sunken_eyes",Gastroenteritis
"diarrhoea, sunken_eyes, vomiting, dehydration",Gastroenteritis
"vomiting, sunken_eyes, diarrhoea, dehydration",Gastroenteritis
"lack_of_concentration, headache, chest_pain, dizziness, loss_of_balance",Hypertension
"headache, chest_pain, lack_of_concentration, dizziness, loss_of_balance",Hypertension
"lack_of_concentration, loss_of_balance, chest_pain, headache, dizziness",Hypertension
"stomach_pain, itching, skin_rash, burning_micturition, spotting_ urination",Drug Reaction
"burning_micturition, stomach_pain, spotting_ urination, skin_rash, itching",Drug Reaction
"skin_rash, burning_micturition, spotting_ urination, stomach_pain, itching",Drug Reaction
"mild_fever, vomiting, dark_urine, nausea, yellowing_of_eyes, joint_pain, abdominal_pain, muscle_pain, diarrhoea, yellowish_skin",hepatitis A
"muscle_pain, yellowing_of_eyes, joint_pain, diarrhoea, vomiting, mild_fever, abdominal_pain, nausea, dark_urine, yellowish_skin",hepatitis A
"joint_pain, abdominal_pain, vomiting, yellowish_skin, nausea, dark_urine, muscle_pain, mild_fever, diarrhoea, yellowing_of_eyes",hepatitis A
"blurred_and_distorted_vision, stiff_neck, visual_disturbances, depression, headache, acidity, irritability, excessive_hunger, indigestion",Migraine
"excessive_hunger, headache, depression, blurred_and_distorted_vision, stiff_neck, irritability, indigestion, visual_disturbances, acidity",Migraine
"indigestion, irritability, depression, acidity, headache, excessive_hunger, stiff_neck, visual_disturbances, blurred_and_distorted_vision",Migraine
